class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTMainThreadWatcher_main______1 is never used",HIGH,39,"_RPTMainThreadWatcher_main","main#_RPTMainThreadWatcher#instance.8463338c5fe63771daf586c25a83b132",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTMainThreadWatcher.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTMainThreadWatcher.m"",""line_number"":39,""column_number"":51,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","736721279","1","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator__swizzleWKWebView______1 is never used",HIGH,92,"_RPTClassManipulator__swizzleWKWebView","_swizzleWKWebView#_RPTClassManipulator#class.6048995953be3a2a02f52f75b13b23e7",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m"",""line_number"":92,""column_number"":42,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","913032424","2","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator__swizzleWKWebView______2 is never used",HIGH,55,"_RPTClassManipulator__swizzleWKWebView","_swizzleWKWebView#_RPTClassManipulator#class.6048995953be3a2a02f52f75b13b23e7",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m"",""line_number"":55,""column_number"":39,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","913032424","3","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTEventWriter_begin______2 is never used",HIGH,104,"_RPTEventWriter_begin","begin#_RPTEventWriter#instance.8b5d354d9dcc8a157d0a5ce27ee56958",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTEventWriter.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTEventWriter.m"",""line_number"":104,""column_number"":46,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","582395495","4","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTEventWriter_begin______3 is never used",HIGH,81,"_RPTEventWriter_begin","begin#_RPTEventWriter#instance.8b5d354d9dcc8a157d0a5ce27ee56958",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTEventWriter.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTEventWriter.m"",""line_number"":81,""column_number"":26,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","582395495","5","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator_swizzleMethodFromClass:withSelector:toClass:replacing:onlyIfPresent:______1 is never used",HIGH,156,"_RPTClassManipulator_swizzleMethodFromClass:withSelector:toClass:replacing:onlyIfPresent:","swizzleMethodFromClass:withSelector:toClass:replacing:onlyIfPresent:#_RPTClassManipulator#class.0831dbb0f79826300ce455453a1b70d7",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator.m"",""line_number"":156,""column_number"":43,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","219172153","6","false",""
,WARNING,PARAMETER_NOT_NULL_CHECKED,"Parameter `completionHandler` is not checked for null, there could be a null pointer dereference: pointer `completionHandler` could be null and is dereferenced at line 116, column 5",MEDIUM,116,"_RPTNSURLProtocol_URLSession:dataTask:didReceiveResponse:completionHandler:","URLSession:dataTask:didReceiveResponse:completionHandler:#_RPTNSURLProtocol#instance.dc8cfbe3f2392dda60050fbdf8c43ea8",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTNSURLProtocol.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTNSURLProtocol.m"",""line_number"":102,""column_number"":1,""description"":""start of procedure URLSession:dataTask:didReceiveResponse:completionHandler:"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""_RPTNSURLProtocol_URLSession:dataTask:didReceiveResponse:completionHandler:""},{""tag"":""name_id"",""value"":""URLSession:dataTask:didReceiveResponse:completionHandler:#_RPTNSURLProtocol#instance.dc8cfbe3f2392dda60050fbdf8c43ea8""}]},{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTNSURLProtocol.m"",""line_number"":106,""column_number"":9,""description"":""Condition is true"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTNSURLProtocol.m"",""line_number"":108,""column_number"":9,""description"":""Skipping CacheStoragePolicyForRequestAndResponse(): function or method not found"",""node_tags"":[]},{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTNSURLProtocol.m"",""line_number"":115,""column_number"":5,""description"":""Skipping URLProtocol:didReceiveResponse:cacheStoragePolicy:: function or method not found"",""node_tags"":[]},{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTNSURLProtocol.m"",""line_number"":116,""column_number"":5,""description"":"""",""node_tags"":[]}]}","519556187","<qualifier_tags><bucket>B1</bucket><parameter_not_null_checked>completionHandler</parameter_not_null_checked><line>116</line><value>completionHandler</value></qualifier_tags>","277361401","7","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &carrierName is never used",HIGH,107,"__objc_anonymous_block__RPTEventWriter_begin______2","__objc_anonymous_block__RPTEventWriter_begin______2.784e4ff451889cd974c720102fcac933",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTEventWriter.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTEventWriter.m"",""line_number"":107,""column_number"":13,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","385303469","8","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator__swizzleWKWebViewNavDelegate:______3 is never used",HIGH,207,"_RPTClassManipulator__swizzleWKWebViewNavDelegate:","_swizzleWKWebViewNavDelegate:#_RPTClassManipulator#class.2467ad9d4f7c857b35af499bc8cf4a5c",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m"",""line_number"":207,""column_number"":52,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","879139188","9","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator__swizzleWKWebViewNavDelegate:______4 is never used",HIGH,189,"_RPTClassManipulator__swizzleWKWebViewNavDelegate:","_swizzleWKWebViewNavDelegate:#_RPTClassManipulator#class.2467ad9d4f7c857b35af499bc8cf4a5c",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m"",""line_number"":189,""column_number"":57,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","879139188","10","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator__swizzleWKWebViewNavDelegate:______5 is never used",HIGH,171,"_RPTClassManipulator__swizzleWKWebViewNavDelegate:","_swizzleWKWebViewNavDelegate:#_RPTClassManipulator#class.2467ad9d4f7c857b35af499bc8cf4a5c",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m"",""line_number"":171,""column_number"":56,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","879139188","11","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator__swizzleWKWebViewNavDelegate:______6 is never used",HIGH,153,"_RPTClassManipulator__swizzleWKWebViewNavDelegate:","_swizzleWKWebViewNavDelegate:#_RPTClassManipulator#class.2467ad9d4f7c857b35af499bc8cf4a5c",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m"",""line_number"":153,""column_number"":45,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","879139188","12","false",""
PROVER,ERROR,DEAD_STORE,"The value written to &__objc_anonymous_block__RPTClassManipulator__swizzleWKWebViewNavDelegate:______7 is never used",HIGH,135,"_RPTClassManipulator__swizzleWKWebViewNavDelegate:","_swizzleWKWebViewNavDelegate:#_RPTClassManipulator#class.2467ad9d4f7c857b35af499bc8cf4a5c",/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m,"{""trace"":[{""level"":0,""filename"":""/Users/shivaiah.mahesha/Desktop/Projects/SDK/ReviewKit/ios-perftracking/RPerformanceTracking/Private/_RPTClassManipulator+WKWebView.m"",""line_number"":135,""column_number"":47,""description"":""Write of unused value"",""node_tags"":[]}]}","173877444","<qualifier_tags></qualifier_tags>","879139188","13","false",""
